"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NRAS",977.580657207953,0.447946065421469,0.0970566984674067,4.95323183757037e-07,4.41101805908433e-05
"PIKFYVE",1166.57214270566,-0.349571091446093,0.0740260729876128,5.29597013042205e-07,4.68500456968065e-05
"ANKRD37",100.628692460768,2.64172679919409,0.636353319149508,5.54853702201699e-07,4.87614194342783e-05
"KIAA1549",410.950839294176,-1.18381790631771,0.264773886700072,5.92363977987532e-07,5.10503097932739e-05
"MRPL52",107.765323011918,0.610621719008325,0.135559462211282,5.86406272466675e-07,5.10503097932739e-05
"SLC25A25-AS1",60.8591030596329,-1.29228150085399,0.29032420423306,5.9148978028573e-07,5.10503097932739e-05
"AHCYL2",308.209143319119,-0.563317917861649,0.124015017812922,6.05806781801756e-07,5.18741473801786e-05
"NEB",886.352225191546,-1.02579267209435,0.229973609940909,6.37983286259089e-07,5.42814059735599e-05
"SCARNA10",6582.92110706165,0.556544723222197,0.124349674465464,6.43224430880371e-07,5.43809616943038e-05
"MBD2",1620.21907636168,0.506031907693733,0.112287176165096,6.63154046358146e-07,5.53650734453257e-05
"SAT1",15775.7003004188,0.871009715494642,0.200481968210225,6.61270576208528e-07,5.53650734453257e-05
"ACOXL",147.867166251694,-2.29962712395671,0.511396454157644,6.74849866061149e-07,5.59915808127008e-05
"LAMB2",3346.82699977879,-0.410448728799304,0.0888892745384651,6.8102384872838e-07,5.61550405636648e-05
"CYP11A1",9673.32636791759,0.761032814709881,0.175830603503675,7.61346049371795e-07,6.23930093712174e-05
"CGB7",133.562007948039,3.58711446680931,0.902902721257517,7.82860632142637e-07,6.37649531961057e-05
"FKBP9",711.145047300144,-0.46985119201262,0.103448198572724,7.91274882582069e-07,6.40596962517047e-05
"FKBP2",1019.90399002397,0.729590486826202,0.167909781942736,8.01012894241677e-07,6.44574110920501e-05
"PLCB1",541.26675807255,-0.8192107424429,0.185230239980044,8.19527562501858e-07,6.55523902988013e-05
"LDHA",1488.57678825185,1.37266207288222,0.328353434030333,8.32255481764534e-07,6.5911615260883e-05
"SNX27",784.222422760233,-0.602500773242867,0.134828189251598,8.33887032421712e-07,6.5911615260883e-05
"SEC23A",1238.30954315993,0.621313163092583,0.141705137907459,8.62912173034556e-07,6.780459298468e-05
"PIP4K2B",637.018375271453,-0.430606278253412,0.0946616214284734,8.73017775006482e-07,6.81974937926116e-05
"RNF223",39.3090404918521,2.42662629557158,0.590596995362493,8.99943662007891e-07,6.94881354745746e-05
"SPAG4",98.6368588383941,2.12040966625844,0.518010340316597,8.97961423899018e-07,6.94881354745746e-05
"D2HGDH",174.208577798875,-0.630385219734271,0.142567943585721,9.22649205333222e-07,7.08318855450643e-05
"EID3",73.4601127754278,-0.910758959413313,0.208848223798756,9.38347107383533e-07,7.16253752024528e-05
"GPR155",159.310844764304,-1.28494297056764,0.294558187893992,9.6369880571749e-07,7.3142549129399e-05
"STAG3L5P-PVRIG2P-PILRB",247.54390437925,-0.580496514968149,0.130968886581033,9.9705871664777e-07,7.52469510563893e-05
"TBC1D9",753.963339490225,-0.354376480568373,0.0776471255556491,1.01081938841229e-06,7.54331027397283e-05
"WDFY3",3687.47838890713,-0.385204032410304,0.0845327542553602,1.00640425337249e-06,7.54331027397283e-05
"CD63",6513.18067582865,0.877014346987796,0.207045385293749,1.03725669451433e-06,7.69759718073467e-05
"FGF7",77.788072023843,-1.29162305113484,0.297922423999049,1.0456402643742e-06,7.71694069144231e-05
"HCAR2",49.3715800988953,2.77308032282306,0.691898997323672,1.06634017569053e-06,7.82646816861214e-05
"NDRG1",4116.99851196715,1.75992433372022,0.432785340002498,1.08495644566236e-06,7.91958918096054e-05
"CCDC183",262.29476129164,1.75336022498117,0.431729505717834,1.12459342802952e-06,8.16430381066211e-05
"ARHGEF4",102.655858635889,3.21150277678493,0.820787769129591,1.15291976238029e-06,8.32470388425722e-05
"TM9SF2",5162.51255174629,0.525036370653326,0.120441620929612,1.2093224494406e-06,8.68501574173526e-05
"YIPF5",805.067443993397,0.437336484652908,0.0988132907035554,1.25674298302242e-06,8.97731164022113e-05
"ENO1",2575.11725481649,0.646684331835422,0.151364744027814,1.28444441303367e-06,9.07809971920833e-05
"TMEM107",89.878541811836,0.762161854975873,0.178903470510651,1.28126712372188e-06,9.07809971920833e-05
"SYMPK",1396.27339755011,-0.455580238152089,0.102581489825038,1.33914560908176e-06,9.41489844532326e-05
"FAM43A",959.282684740935,0.932649102210925,0.224602170426393,1.36422414812104e-06,9.53476415923729e-05
"GUCA2A",138.70608377398,1.98488387756892,0.496916648319299,1.37047066819401e-06,9.53476415923729e-05
"CHI3L2",46.3906546513247,2.24382576916573,0.558406525610707,1.39939556762225e-06,9.63563195479282e-05
"LIMCH1",6109.33375473711,1.09762865475317,0.266936818293658,1.39580639526659e-06,9.63563195479282e-05
"LRRC1",2001.71748862011,0.886345898506454,0.213054261258822,1.42241381655374e-06,9.74389936488455e-05
"CDC42BPA",907.11320115124,-0.585586178234566,0.13457944224013,1.46794709788032e-06,9.97776612374357e-05
"SLC16A3",1910.09020658817,1.17581633976385,0.288067933747741,1.47149268331897e-06,9.97776612374357e-05
"ENPP1",1051.15779689673,-1.132538124868,0.2653133617432,1.50430899137098e-06,0.000100607836895629
"KLRD1",71.8644170375572,-0.919953556491075,0.215978587207929,1.51386249558477e-06,0.000100607836895629
"SFXN3",953.202207204306,1.35862106177183,0.336021787917902,1.51350642119516e-06,0.000100607836895629
"TECR",444.599277143492,0.828137791131503,0.198766390353661,1.5089604368102e-06,0.000100607836895629
"IPMK",555.743239884588,1.12010261836677,0.276167550830604,1.72499308983712e-06,0.000113509643813026
"SH2B3",323.152407562204,-0.729279021197157,0.170779042271412,1.71939149470681e-06,0.000113509643813026
"VIT",51.2558057782114,2.7591226893776,0.710924234290161,1.73931920236992e-06,0.000113891303457144
"OST4",436.831155835771,0.483909789955578,0.11231623306152,1.79809495352624e-06,0.000117165621410749
"ERGIC1",1181.42380476692,0.950696209793678,0.232826527974917,1.83283432738475e-06,0.000118849519151483
"ANKRD13C",340.241093213736,0.368582910821401,0.083535871724979,1.91255561359149e-06,0.000123342271633926
"PRKD3",667.871603688048,1.00702714730924,0.248365045523925,1.92058635273668e-06,0.000123342271633926
"DNAH1",401.99443863234,-0.75256103612451,0.177618442245978,1.93616385610525e-06,0.000123747735836622
"GRHL1",2758.2564805853,0.770216916290112,0.187052021541471,1.95945540572123e-06,0.000124640025283925
"PGK1",2157.57687771742,0.609581994799725,0.145446725243871,1.99817479931642e-06,0.000126500563835397
"SRPX2",123.26155337079,-1.04542059741818,0.249007943355498,2.0115901711813e-06,0.000126749158050188
"PRSS8",1582.8926946711,0.574350208473883,0.138602194315331,2.07351592633017e-06,0.000130037679548913
"EFHD2",529.943449701858,0.462879797717913,0.107958645109161,2.08852013987985e-06,0.000130366598264089
"DDR2",115.726937005296,-0.772883033389426,0.184016585488463,2.14793918463354e-06,0.000133451961062022
"GRIK2",25.8671215150744,-1.65277401018144,0.39760995074963,2.26861051265667e-06,0.000140296755685499
"CGB8",1316.99057777946,3.28671767292208,0.887812049266864,2.29588312542862e-06,0.000140680765089337
"LMBRD1",856.558606993392,0.619378746328712,0.148898160532745,2.29573429546991e-06,0.000140680765089337
"LARP1",1863.41211043,-0.573027879514277,0.134960494000899,2.42469154631153e-06,0.000147895112674107
"FUT9",87.117008663182,1.46632961280091,0.372433928518066,2.46984543159057e-06,0.000149285951471434
"TLE6",87.481270470677,1.47080431719818,0.374762973043916,2.4606310474436e-06,0.000149285951471434
"KIT",232.154123597691,1.12433550684587,0.283249213909979,2.55802754511927e-06,0.000153919513277943
"MC1R",520.575572380119,-0.864478143538809,0.20812663946007,2.61221981088131e-06,0.000156475480868845
"CLN8",514.154597099704,-0.454860179745137,0.106151633993003,2.66550386942766e-06,0.000158954467356315
"CAD",394.3860769609,-0.471092498237633,0.110443393923458,2.75366099189468e-06,0.000163481793465463
"GPR17",22.3235930025515,2.32857409746502,0.596851479755104,3.0125141243891e-06,0.000178058246343317
"SARAF",3539.23003264541,0.407319107390346,0.095700953493663,3.08111006441034e-06,0.000181310432777063
"CDK18",87.4122601194081,-0.726308462762055,0.176812942361431,3.17419746724072e-06,0.000185968990207902
"EGLN3",375.691069226558,3.05197319175358,0.842536066290986,3.26842115275638e-06,0.000190653143050305
"ZNF467",40.459431595329,-1.00454929002749,0.248454996541259,3.42773942233496e-06,0.000199077144363263
"TCF20",753.242470347202,-0.272411156765453,0.0620394494287128,3.46998608982648e-06,0.000200658329817758
"GOLM1",349.711994728744,0.754498911740189,0.18893999883925,3.51368096265943e-06,0.000202309268531055
"LYSMD3",627.725225272957,0.428958567446252,0.102207444077221,3.60592544582062e-06,0.000205322876145075
"PLXND1",1506.66878438542,-0.67250217668151,0.163347945663521,3.61213324555268e-06,0.000205322876145075
"TRAK1",863.277195245853,-0.703204688394318,0.171150469789853,3.59403253006156e-06,0.000205322876145075
"FMNL3",511.817999763684,-0.668941382916911,0.162679400190606,3.65024528739724e-06,0.000206610070123103
"LRP2",3147.44045940482,-0.532150407711838,0.12765582263091,3.70457676222771e-06,0.000208800575484547
"UGP2",2324.64882788444,0.756169225062848,0.192209678323844,3.74891983965281e-06,0.000210412063941522
"PER3",72.0662813616043,-1.06337767074526,0.263647079387098,3.78572583865646e-06,0.000211588810681059
"CLCN5",527.400451228852,-0.523616216527587,0.12599673634347,3.91313650077615e-06,0.000217798655739033
"RPS27L",268.198165450408,0.877195581870971,0.223771740789344,4.01536514984214e-06,0.000222561193658055
"NFIA",247.812439250773,-0.718431219471425,0.176551511173507,4.09000508158274e-06,0.00022576152016439
"CALM1",9619.49574653979,1.12487572662808,0.292822133882943,4.13855094981714e-06,0.00022750108472287
"BSG",4107.45142298016,0.462178649577921,0.112069204476119,4.2249099529753e-06,0.000231296504720672
"HERC2",1085.58381666865,-0.411507032355743,0.0977918308119166,4.40752662789742e-06,0.000240075605003062
"TANK",793.669333840168,0.443164576737533,0.107166978441414,4.42121566332933e-06,0.000240075605003062
"NDOR1",182.571288478721,-0.468566567033788,0.113254838317317,4.7638097196534e-06,0.000257631458441822
"SLC26A6",297.376887208622,1.10099471568386,0.288779118161775,4.82833410698132e-06,0.000260068092746195
"PJA1",991.99627647795,0.647618920299814,0.163741318601918,4.91844081182978e-06,0.000263857559696475
"RNASEH2C",169.104750163959,0.477475343873102,0.116949922615003,5.09452486196042e-06,0.000272210652424269
"CLC",32.3088772875785,2.09696035747404,0.56345056465233,5.30276555119906e-06,0.000282208534792498
"SREBF1",1316.41764634206,0.727526741739942,0.186938207860086,5.43925812652302e-06,0.00028832384942101
"ARTN",42.011948080495,-1.59013953597989,0.402176025711081,5.57476220213472e-06,0.000294338630419429
"ACKR1",12.7440995285731,-1.67512199528724,0.426295963524742,5.74958781289661e-06,0.000300202666359636
"LRRN3",27.5451547899778,-1.40168215627642,0.357034237612971,5.75324768588612e-06,0.000300202666359636
"NNAT",579.837434571896,1.25911963004715,0.337985068581042,5.74100474131946e-06,0.000300202666359636
"KLHL42",578.515565983665,-0.365438055210185,0.0873915985545549,5.93394960947564e-06,0.000308426843904185
"ABCA1",5779.542572189,0.893190001474637,0.234677601308201,6.10218451438616e-06,0.000315941785826242
"DPYSL3",172.045589476776,-0.956368660258745,0.243082330614398,6.35322667725655e-06,0.000327669505616961
"MYH13",6.86521412286505,-1.75954295765594,0.454812675925427,6.43505002494681e-06,0.000330613070127844
"IL1R2",89.4705876654826,2.78725628866355,0.796968377191382,6.4646757955577e-06,0.000330862602594099
"MLX",344.383438066734,0.496973526854982,0.124340564415901,6.59894808061566e-06,0.000335166343957658
"STXBP6",259.697683176086,-0.709870287301105,0.179157179917327,6.59729588212741e-06,0.000335166343957658
"CDK14",149.210309834414,-0.771964479313926,0.196538122523855,6.85789339167999e-06,0.000345689584626646
