"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"JPH1",17.082435822143,1.81469040369571,0.540714637914948,2.97460023343246e-05,0.00109454677991781
"SLC45A4",584.340737380547,-1.14958126772741,0.327086018228393,3.13361876573789e-05,0.00113438697758067
"BHLHE40",1772.45983200369,1.6888712881493,0.5389192070429,3.32928581936395e-05,0.00118278191423042
"C5orf46",10.9555585160383,3.26954256963912,0.961358876574347,3.55107714052621e-05,0.0012470667985864
"TMEM91",53.1180737757696,1.14409190121721,0.352475101405533,3.90728754714475e-05,0.00134416196059919
"IL27RA",38.7354883295683,1.45043694529936,0.459453335764795,4.52578743830993e-05,0.00149717545835692
"KCNC4",81.8696592799033,-1.26962643950658,0.373577926946859,4.67950427269726e-05,0.00154342760678247
"RASSF7",358.836250948508,1.0258462218206,0.322391663867059,4.81191208273175e-05,0.00157219702215032
"PYCR1",81.3146106100908,1.81316947168727,0.601216125340787,4.93992536530162e-05,0.00159059189232962
"ZNF114",164.046068732336,1.47983726633912,0.487282002999371,5.3747518019118e-05,0.0016853505767591
"CORO2A",239.716911496298,1.89442251924035,0.652629756476619,5.97663565432851e-05,0.00182273742170137
"DNAH11",619.033203823126,2.17000915185402,0.763425365126836,6.03907466999835e-05,0.00182546820435311
"LY6D",149.967104431106,2.75993168566027,1.00900097989555,6.00862766345424e-05,0.00182546820435311
"NPFFR2",389.237842611564,1.48333621327057,0.497062334693224,6.0418530372038e-05,0.00182546820435311
"CES1",11.7800567914021,-1.60105910081425,0.485685241514788,6.15997584877362e-05,0.00185162680550868
"HLA-G",329.606883474793,2.49848944922282,0.910031428970808,6.61145653634626e-05,0.00195668235819741
"PTPRQ",114.129485659482,-1.51726827661999,0.459751932603335,6.90122319143165e-05,0.00201864856039155
"KDELR3",84.2539099267714,1.23321781574021,0.415184639799408,8.32273510232075e-05,0.00233071479028932
"SLAMF1",16.8236826720401,-2.18005532110439,0.666985804896116,8.49695891147829e-05,0.00237452671840015
"HILPDA",475.74410864082,1.38029985058109,0.47934351446354,8.78571976818704e-05,0.00245009696583387
"TUBA4A",161.980040260087,1.34854000751169,0.466344807971784,9.02523623152845e-05,0.00248575475424241
"KL",495.166614511645,-1.0565958534837,0.329387497019202,9.12021544688122e-05,0.00250159831497822
"GPR68",62.6972493064839,-1.04799673550229,0.328471570356331,9.46801767987469e-05,0.00258300125565217
"SERPINE1",9731.74635740731,1.15057916598426,0.396359331714256,9.9449836146696e-05,0.00268917188511653
